alpha,mu,x0,x1
0.9999,0.8200000000000001,-8.020000000000042,4.53999999999969
0.9999,0.8300000000000001,-7.920000000000044,4.54999999999969
0.9999,0.84,-7.810000000000047,4.55999999999969
0.9999,0.85,-7.710000000000049,4.569999999999689
0.9999,0.86,-7.610000000000051,4.579999999999689
0.9999,0.87,-7.510000000000053,4.589999999999689
0.9999,0.88,-7.420000000000055,4.599999999999689
0.9999,0.89,-7.320000000000057,4.609999999999689
0.9999,0.9,-7.230000000000059,4.619999999999688
0.9999,0.91,-7.140000000000061,4.629999999999688
0.9999,0.92,-7.060000000000063,4.639999999999688
0.9999,0.93,-6.970000000000065,4.649999999999688
0.9999,0.9400000000000001,-6.890000000000066,4.6599999999996875
0.9999,0.9500000000000001,-6.800000000000068,4.669999999999687
0.9999,0.96,-6.72000000000007,4.679999999999687
0.9999,0.97,-6.640000000000072,4.689999999999687
0.9999,0.98,-6.570000000000073,4.699999999999687
0.9999,0.99,-6.490000000000075,4.709999999999686
0.9999,1.0,-6.4100000000000765,4.719999999999686
0.9999,1.01,-6.340000000000078,4.729999999999686
0.9999,1.02,-6.2700000000000795,4.739999999999686
0.9999,1.03,-6.200000000000081,4.749999999999686
0.9999,1.04,-6.1300000000000825,4.759999999999685
0.9999,1.05,-6.060000000000084,4.769999999999685
0.9999,1.06,-5.9900000000000855,4.779999999999685
0.9999,1.07,-5.930000000000087,4.789999999999685
0.9999,1.08,-5.860000000000088,4.7999999999996845
0.9999,1.09,-5.8000000000000895,4.809999999999684
0.9999,1.1,-5.740000000000091,4.819999999999684
0.9999,1.11,-5.670000000000092,4.829999999999684
0.9999,1.12,-5.610000000000094,4.839999999999684
0.9999,1.1300000000000001,-5.550000000000095,4.8499999999996835
0.9999,1.1400000000000001,-5.490000000000096,4.859999999999683
0.9999,1.1500000000000001,-5.440000000000097,4.869999999999683
0.9999,1.16,-5.3800000000000985,4.879999999999683
0.9999,1.17,-5.3200000000001,4.889999999999683
0.9999,1.18,-5.270000000000101,4.899999999999682
0.9999,1.19,-5.210000000000102,4.909999999999682
0.9999,1.2,-5.160000000000103,4.919999999999682
0.9999,1.21,-5.110000000000104,4.929999999999682
0.9999,1.22,-5.060000000000105,4.9399999999996815
0.9999,1.23,-5.010000000000106,4.949999999999681
0.9999,1.24,-4.950000000000108,4.959999999999681
0.9999,1.25,-4.9100000000001085,4.969999999999681
0.9999,1.26,-4.86000000000011,4.979999999999681
0.9999,1.27,-4.810000000000111,4.9899999999996805
0.9999,1.28,-4.760000000000112,4.99999999999968
